Tarih;Saat;Üretim KGÜP;Tüketim KGÜP ;Doğal Gaz;Rüzgar;Linyit;Taş Kömürü;İthal Kömür;Fuel Oil;Jeotermal;Barajlı;Nafta;Biokütle;motorin;lpg;biogaz;gol_tipi;kanal_tipi;gunes;lfg_copgazi;dalga;gel_git;nehir;rezervuarli;prolitik;siyah_likor;lng;proses_atik_isisi;asfaltit;rezervuarli_kanal_tipi;Lisanssız Üretim KGÜP;
14/07/2026;0;41893.89;-41072.06;4418.05;5680.75;4992.60;269.00;9361.50;0.00;872.84;0;0.00;848.55;0;0;3.10;0;2614.90;0.00;94.15;0;0;297.00;12231.85;0.00;0;0;3.80;146.00;59.80;81.67;
14/07/2026;1;40015.04;-38963.03;4359.50;5539.84;4974.00;269.00;9361.50;0.00;881.94;0;0.00;851.73;0;0;3.10;0;2519.64;0.00;94.14;0;0;283.20;10667.85;0.00;0;0;3.80;146.00;59.80;80.97;
14/07/2026;2;38504.94;-37312.20;3941.39;5494.21;4973.00;269.00;9363.50;0.00;898.48;0;0.00;851.95;0;0;4.04;0;2440.83;0.00;90.99;0;0;295.10;9666.35;0.00;0;0;3.80;146.00;66.30;79.86;
14/07/2026;3;37056.10;-36162.07;3088.49;5652.44;4932.00;269.00;9272.50;0.00;910.98;0;0.00;843.94;0;0;3.10;0;2452.91;0.00;90.99;0;0;353.60;8960.35;0.00;0;0;3.80;186.00;36.00;84.32;
14/07/2026;4;36110.55;-35206.31;2438.55;5849.45;5023.00;269.00;9272.50;0.00;925.02;0;0.00;839.52;0;0;3.10;0;2398.75;0.01;91.50;0;0;359.10;8421.35;0.00;0;0;4.00;186.00;29.70;98.90;
14/07/2026;5;35166.02;-34171.65;2129.58;5935.40;4988.10;269.00;9273.50;0.00;934.16;0;0.00;835.19;0;0;3.11;0;2209.66;30.66;91.00;0;0;260.76;7988.80;0.00;0;0;3.80;186.00;27.30;255.67;
14/07/2026;6;33970.67;-34127.99;2034.57;5979.98;4899.60;248.00;8191.50;0.00;940.36;0;0.00;844.54;0;0;4.24;0;2088.68;584.27;86.71;0;0;262.26;7588.36;0.00;0;0;3.80;186.00;27.80;1412.06;
14/07/2026;7;33521.47;-36601.04;1853.28;5762.90;4777.10;248.00;7276.10;0.00;928.16;0;0.00;860.68;0;0;3.94;0;1937.76;1698.52;86.76;0;0;191.11;7690.26;0.00;0;0;3.80;186.00;17.10;4397.51;
14/07/2026;8;36250.95;-42742.39;1820.02;5772.20;4787.10;248.00;7928.20;0.10;902.52;0;0.00;883.74;0;0;4.11;0;2093.49;2353.81;93.97;0;0;315.06;8845.03;0.00;0;0;3.80;186.00;13.80;8316.20;
14/07/2026;9;36029.36;-45848.51;1834.71;5845.65;4766.00;248.00;7076.60;0.90;878.48;0;0.00;904.62;0;0;4.24;0;2150.89;2581.76;93.90;0;0;337.59;9099.92;0.00;0;0;3.80;186.00;16.30;11922.45;
